Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2014-08-07,4141713.94750001,4182936.29304033,-41222.3455403224,3964674.37836082,4407368.66188456,t,,,
2014-08-11,4142650.63250002,4097286.33785215,45364.2946478734,3886602.76710254,4334092.33985332,t,,,
2014-08-14,4078907.20499999,4092717.49687745,-13810.2918774574,3866455.72671063,4307107.56790841,t,,,
2014-08-20,4063201.35099999,4140394.28715144,-77192.9361514486,3899236.82001789,4371231.01379247,t,,,
2014-08-28,4173715.36499999,4211315.73582748,-37600.3708274942,4010779.59124319,4442312.95182235,t,,,
2014-09-01,4078770.00000001,4092737.05966555,-13967.0596655365,3870400.4918966,4322925.01174162,t,,,
2014-09-02,4115746.43250001,4155138.11852205,-39391.686022046,3939955.50559047,4371591.4722556,t,,,
2014-09-04,4225318.83749999,4180279.07355176,45039.7639482361,3956945.52726708,4405883.79218254,t,,,
2014-09-15,4143130.27250001,4120077.37691776,23052.8955822471,3896821.33641569,4343851.83123213,t,,,
2014-09-16,4243997.66500001,4193108.46152747,50889.2034725384,3982451.98961394,4436478.12879489,t,,,
2014-09-18,4379214.91,4358878.11502972,20336.7949702824,4146816.30102074,4568837.86862349,t,,,
2014-09-23,4062808.67499999,4130908.15182538,-68099.4768253909,3919534.10700903,4347908.05197678,t,,,
2014-09-24,4122477.19250001,4134676.33525306,-12199.1427530507,3918191.88910413,4352043.16316403,t,,,
2014-09-29,4179343.43749998,4167503.55669087,11839.8808091083,3953863.29078152,4396941.76174858,t,,,
2014-09-30,4326834.69500001,4283813.70646634,43020.9885336785,4065383.80109218,4499335.66231792,t,,,
2014-10-01,4326403.77499996,4231073.76796533,95330.0070346259,4007917.46638443,4452400.77023785,t,,,
2014-10-03,4164237.29749997,4160777.83834532,3459.45915464824,3947213.24940673,4370933.90991766,t,,,
2014-10-06,4083712.39249998,4035279.93749898,48432.4550009947,3821577.06880215,4263324.70292954,t,,,
2014-10-08,4198988.63085001,4172701.50466977,26287.1261802404,3945178.08538003,4399153.39002334,t,,,
2014-10-09,4228017.49249999,4195018.60785339,32998.8846466038,3977550.84227694,4426469.9380747,t,,,
2014-10-10,4200967.09750001,4146142.08728539,54825.0102146203,3920628.3872316,4390209.75351654,t,,,
2014-10-13,4125194.65750001,4110791.74517158,14402.9123284309,3890146.94915268,4343451.86541246,t,,,
2014-10-14,4098635.34000003,4096353.45188942,2281.8881106074,3862567.69565685,4320617.90081794,t,,,
2014-10-16,4242110.37749998,4186666.42553748,55443.9519625041,3954441.04754279,4398722.66968854,t,,,
2014-10-17,4158162.88250002,4077729.21136405,80433.6711359741,3859522.28850185,4316121.72147339,t,,,
2014-10-18,3508658.51500001,3541242.03382349,-32583.5188234802,3329435.06942497,3756680.74902908,t,,,
2014-10-27,4166100.52000001,4152132.78050031,13967.7394997021,3946285.94448408,4387544.45210139,t,,,
2014-10-31,4251957.67999998,4171736.4615308,80221.2184691792,3945096.81230879,4389001.35746501,t,,,
2014-11-06,4363997.75149998,4257691.82001096,106305.931489023,4036693.05684966,4489501.43140099,t,,,
2014-11-15,3678667.95299998,3707612.88750712,-28944.934507139,3503586.6622471,3932444.49767453,t,,,
2014-11-16,3317734.84300002,3377723.28671624,-59988.443716222,3145427.59199717,3589960.29651858,t,,,
2014-11-17,4331063.85799999,4215822.00971376,115241.848286235,3991763.52999743,4418077.39281893,t,,,
2014-11-18,4362666.299,4245960.07919784,116706.219802164,4034456.04183515,4479692.96298772,t,,,
2014-11-22,3635482.46899996,3670419.72310184,-34937.2541018771,3443921.57326756,3900137.45602874,t,,,
2014-11-26,4374898.60349998,4262420.94288173,112477.660618258,4048539.28772464,4484407.64497064,t,,,
2014-11-29,3769427.76299999,3733778.45702901,35649.3059709813,3524902.63835194,3954833.20577374,t,,,
2014-12-02,4510174.50999998,4308400.6016158,201773.908384178,4083416.72327563,4540719.76631616,t,,,
